feature,mean_importance
tvv_hal1,-8.326672684688674e-18
cnit_m10mcdvpgw7j302,-8.326672684688674e-18
tvv_gyl10r,-8.326672684688674e-18
cnit_m10fatvp001m592,-8.326672684688674e-18
cnit_m10mcdvpgw7j434,-8.326672684688674e-18
cnit_m10lncvp000r207,-8.326672684688674e-18
tvv_gse20l,-8.326672684688674e-18
cnit_m10mcdvpgw7j470,-8.326672684688674e-18
cnit_m10mcdvpgw70549,-8.326672684688674e-18
tvv_eb,-8.326672684688674e-18
cnit_m10mcdvpgw71611,-8.326672684688674e-18
tvv_gwl10r,-8.326672684688674e-18
tvv_hc,-8.326672684688674e-18
tvv_1e,-8.326672684688674e-18
cnit_m10mcdvpgw71647,-8.326672684688674e-18
cnit_m10mcdvpgw7g590,-8.326672684688674e-18
dscom,-8.326672684688674e-18
tvv_xp12,-8.326672684688674e-18
tvv_xe2,-8.326672684688674e-18
cnit_m10mcdvpgw7g493,-8.326672684688674e-18
co_typ_1,-8.326672684688674e-18
tvv_he15u,-8.326672684688674e-18
hcnox,-8.326672684688674e-18
tvv_phantom,-8.326672684688674e-18
tvv_nlp13f,-8.326672684688674e-18
tvv_nlp130l,-8.326672684688674e-18
cnit_m10mcdvpgw7h566,-8.326672684688674e-18
cnit_m10mcdvpgw7f783,-8.326672684688674e-18
cnit_m10mcdvpgw7h724,-8.326672684688674e-18
tvv_s19,-8.326672684688674e-18
tvv_bexqhw,-8.326672684688674e-18
cnit_m10mcdvpgw7f661,-8.326672684688674e-18
cnit_m10mcdvpgw7j567,-8.326672684688674e-18
tvv_0g,-8.326672684688674e-18
tvv_1k,-8.326672684688674e-18
tvv_1l,-8.326672684688674e-18
tvv_1s,-8.326672684688674e-18
tvv_2e,-8.326672684688674e-18
cnit_m10mcdvpgw7c561,-8.326672684688674e-18
cnit_m10mcdvpgw7b524,-8.326672684688674e-18
tvv_bexqbw,-8.326672684688674e-18
cnit_m10mcdvpgw7e430,-8.326672684688674e-18
cnit_m10mcdvpgw74456,-8.326672684688674e-18
tvv_906ac35,-8.326672684688674e-18
cnit_m10mcdvpgw73710,-8.326672684688674e-18
cnit_m10mcdvpgw72709,-8.326672684688674e-18
tvv_ale20,-8.326672684688674e-18
cnit_m10mcdvpgw7g626,-8.326672684688674e-18
tvv_awl10r,-8.326672684688674e-18
cnit_m10mcdvpgw7f564,-8.326672684688674e-18
cnit_m10fatvp026f862,-6.938893903907228e-18
tvv_1ps,-6.938893903907228e-18
tvv_uxe2,-6.938893903907228e-18
cnit_m10mcdvpgw72418,-6.938893903907228e-18
cnit_m10mcdvpgw7d756,-6.938893903907228e-18
tvv_1g,-6.938893903907228e-18
cnit_m10mcdvpgw7j495,-6.938893903907228e-18
tvv_2l,-6.938893903907228e-18
cnit_m10mcdvpgw70646,-6.938893903907228e-18
cnit_m10mcdvpgw7f625,-6.938893903907228e-18
cnit_m10mcdvpgw7f722,-6.938893903907228e-18
lib_mod,-6.938893903907228e-18
cnit_m10mcdvpgw7c658,-6.938893903907228e-18
cnit_m10mcdvpgw73552,-6.938893903907228e-18
cnit_m10fatvp001k565,-6.938893903907228e-18
tvv_aexlhw,-6.938893903907228e-18
cnit_m10mcdvpgw73419,-6.938893903907228e-18
cnit_m10mcdvpgw72612,-6.938893903907228e-18
cnit_m10dacvp0008731,-6.938893903907228e-18
cnit_m10mcdvpgw72454,-6.938893903907228e-18
tvv_awxgkw,-5.551115123125783e-18
cnit_m10mcdvpgw71514,-5.551115123125783e-18
cnit_m10mcdvpgw7c464,-5.551115123125783e-18
cnit_m10fatvp0262849,-5.551115123125783e-18
tvv_awl10,-5.551115123125783e-18
tvv_mh,-5.551115123125783e-18
cnit_m10mcdvpgw7d587,-5.551115123125783e-18
ptcl,-5.551115123125783e-18
cnit_m10mcdvpgw70452,-5.551115123125783e-18
cnit_m10mcdvpgw7c622,-4.163336342344337e-18
nox,-2.7755575615628915e-18
gamme,3.415195133565918e-06
hc,2.122328271468993e-05
Carrosserie,3.4944613056565876e-05
puiss_max,0.0011184011357453574
masse_ordma_min,0.001213353863547152
cod_cbr,0.003047334929506518
masse_ordma_max,0.00594840548016112
puiss_admin_98,0.020063418329814023
conso_urb,0.03385661308905874
conso_mixte,0.21038402225147695
conso_exurb,1.300565309195188
