feature,mean_importance
Carrosserie,-2.0289289011081457e-05
tvv_e15ut,-2.1119312670841473e-06
dscom,-9.971558456370452e-07
tvv_2k,-1.8341215578710109e-07
tvv_1e,-2.8028178244857497e-08
tvv_awl10r,-5.6312491035666325e-09
tvv_2g,0.0
tvv_2h,0.0
tvv_2j,0.0
tvv_2l,0.0
tvv_3e,0.0
tvv_3k,0.0
tvv_3l,0.0
tvv_a10,0.0
tvv_aexghw,0.0
tvv_aexlhw,0.0
tvv_aezghw,0.0
tvv_ahxbbw,0.0
tvv_ahxebw,0.0
tvv_ale20,0.0
tvv_ave30,0.0
tvv_ave30r,0.0
tvv_awl10l,0.0
tvv_awxgkw,0.0
tvv_bexehw,0.0
tvv_2f,0.0
tvv_2e,0.0
cnit_m10mcdvpgw7j435,0.0
tvv_bexqbw,0.0
cnit_m10mcdvpgw7h785,0.0
cnit_m10mcdvpgw7j302,0.0
cnit_m10mcdvpgw7j434,0.0
tvv_zwa10r,0.0
cnit_m10mcdvpgw7j470,0.0
cnit_m10mcdvpgw7j471,0.0
cnit_m10mcdvpgw7j495,0.0
cnit_m10mcdvpgw7j567,0.0
cnit_m10mcdvpgw7j568,0.0
cnit_m10mcdvpgw7j592,0.0
tvv_1s,0.0
cnit_m10mcdvpgw7j629,0.0
cnit_m10mcdvpgw7j725,0.0
cnit_m10pelvp1980112,0.0
cnit_m10pelvp253j535,0.0
tvv_00,0.0
tvv_0g,0.0
tvv_1a,0.0
tvv_1f,0.0
tvv_1g,0.0
tvv_1j,0.0
tvv_1k,0.0
cnit_m10mcdvpgw7j690,0.0
tvv_1ps,0.0
tvv_eb,0.0
cnit_m10mcdvpgw7h724,0.0
tvv_mh,0.0
tvv_nlp130l,0.0
tvv_nlp13f,0.0
tvv_nsp120l,0.0
tvv_phantom,0.0
tvv_s19,0.0
tvv_use20,0.0
tvv_usf40,0.0
tvv_usf40r,0.0
tvv_uvf45,0.0
tvv_mg,0.0
tvv_uvf45r,0.0
tvv_uvf46r,0.0
tvv_uxe2,0.0
tvv_vh2,0.0
tvv_xa3,0.0
tvv_xp12,0.0
tvv_xp13m,0.0
tvv_zsa44,0.0
tvv_zsa44l,0.0
tvv_zwa10,0.0
tvv_zwa10l,0.0
tvv_uvf46,0.0
tvv_lfa10r,0.0
tvv_lfa10l,0.0
tvv_ksp13f,0.0
tvv_et,0.0
tvv_f4,0.0
tvv_fa10lfa10,0.0
tvv_fcrafw,0.0
tvv_fezrhw,0.0
tvv_grl11,0.0
tvv_gse20,0.0
tvv_gse20l,0.0
tvv_gse20r,0.0
tvv_gse30,0.0
tvv_gwl10,0.0
tvv_gwl10l,0.0
tvv_gwl10r,0.0
tvv_gyl10,0.0
tvv_gyl10r,0.0
tvv_gyl15,0.0
tvv_gyl15r,0.0
tvv_hal1,0.0
tvv_hc,0.0
tvv_he15u,0.0
tvv_hf4,0.0
tvv_hs19,0.0
tvv_ksp130l,0.0
tvv_ea,0.0
cnit_m10mcdvpgw7h663,0.0
tvv_zwe186,0.0
cnit_m10mcdvpgw7h494,0.0
cnit_m10mcdvpgw71647,0.0
cnit_m10mcdvpgw71708,0.0
cnit_m10mcdvpgw71744,0.0
cnit_m10mcdvpgw72418,0.0
cnit_m10mcdvpgw72454,0.0
cnit_m10mcdvpgw72551,0.0
cnit_m10mcdvpgw72612,0.0
cnit_m10mcdvpgw72648,0.0
cnit_m10mcdvpgw71611,0.0
cnit_m10mcdvpgw72709,0.0
cnit_m10mcdvpgw73455,0.0
cnit_m10mcdvpgw73516,0.0
cnit_m10mcdvpgw73552,0.0
cnit_m10mcdvpgw73649,0.0
cnit_m10mcdvpgw73710,0.0
cnit_m10mcdvpgw73746,0.0
cnit_m10mcdvpgw74456,0.0
cnit_m10mcdvpgw74553,0.0
cnit_m10mcdvpgw7h566,0.0
cnit_m10mcdvpgw74747,0.0
cnit_m10mcdvpgw71514,0.0
cnit_m10mcdvpgw70646,0.0
cnit_m10alfvp0000324,0.0
cnit_m10alfvp000p445,0.0
cnit_m10dacvp0008731,0.0
cnit_m10fatvp0008360,0.0
cnit_m10fatvp001j854,0.0
cnit_m10fatvp001k565,0.0
cnit_m10fatvp001m592,0.0
cnit_m10fatvp007r335,0.0
cnit_m10mcdvpgw70707,0.0
cnit_m10fatvp0262849,0.0
cnit_m10fatvp026f862,0.0
cnit_m10lncvp000r207,0.0
cnit_m10mcdvp3243293,0.0
cnit_m10mcdvp324e534,0.0
cnit_m10mcdvpgu4z323,0.0
cnit_m10mcdvpgw70416,0.0
cnit_m10mcdvpgw70452,0.0
cnit_m10mcdvpgw70549,0.0
cnit_m10fatvp0265852,0.0
cnit_m10mcdvpgw75615,0.0
cnit_m10mcdvpgw73419,0.0
cnit_m10mcdvpgw76458,0.0
cnit_m10mcdvpgw7e563,0.0
cnit_m10mcdvpgw7e588,0.0
cnit_m10mcdvpgw7e685,0.0
cnit_m10mcdvpgw7e757,0.0
cnit_m10mcdvpgw7f492,0.0
cnit_m10mcdvpgw7f564,0.0
cnit_m10mcdvpgw7f589,0.0
cnit_m10mcdvpgw7f625,0.0
cnit_m10mcdvpgw7f661,0.0
cnit_m10mcdvpgw7e527,0.0
cnit_m10mcdvpgw75712,0.0
cnit_m10mcdvpgw7g468,0.0
cnit_m10mcdvpgw7g493,0.0
cnit_m10mcdvpgw7g565,0.0
cnit_m10mcdvpgw7g590,0.0
cnit_m10mcdvpgw7g626,0.0
cnit_m10mcdvpgw7g662,0.0
cnit_m10mcdvpgw7g687,0.0
cnit_m10mcdvpgw7h433,0.0
cnit_m10mcdvpgw7h469,0.0
cnit_m10mcdvpgw7f783,0.0
cnit_m10mcdvpgw7e430,0.0
cnit_m10mcdvpgw7f722,0.0
cnit_m10mcdvpgw7c464,0.0
cnit_m10mcdvpgw7b427,0.0
cnit_m10mcdvpgw7d756,0.0
cnit_m10mcdvpgw7b488,0.0
cnit_m10mcdvpgw7b524,0.0
cnit_m10mcdvpgw7c428,0.0
cnit_m10mcdvpgw7c561,0.0
cnit_m10mcdvpgw7c586,0.0
cnit_m10mcdvpgw76616,0.0
cnit_m10mcdvpgw7c658,0.0
cnit_m10mcdvpgw7c719,0.0
cnit_m10mcdvpgw7c780,0.0
cnit_m10mcdvpgw7d587,0.0
cnit_m10mcdvpgw7d684,0.0
cnit_m10mcdvpgw7c622,0.0
tvv_aetlhw,3.8173875811699925e-10
tvv_mc,8.33352770681587e-09
tvv_1l,1.918307947377726e-08
tvv_betqhw,7.461811626732242e-08
tvv_bexqhw,1.7131747857893324e-07
tvv_awl10,2.9520250544308286e-07
tvv_ukl,4.881971196947498e-07
tvv_grl11r,4.947542606539499e-07
tvv_xe2,1.4197915256072184e-06
tvv_639,1.4774283704752567e-06
tvv_906ac35,1.7895389798543247e-06
date_maj,2.330637041509493e-06
champ_v9,1.0062377699285806e-05
ptcl,1.0389101630946707e-05
tvv_ps,1.0644948211105573e-05
hybride,4.924461383826338e-05
puiss_max,9.913577811092e-05
lib_mod,0.00011830645358024251
gamme,0.00022779176724080466
hcnox,0.0002811805169496401
lib_mod_doss,0.0004040886473484751
typ_boite_nb_rapp,0.00141825802892516
co_typ_1,0.0018666804031229882
lib_mrq,0.002390041196469821
masse_ordma_min,0.0028513459398630996
hc,0.0073324288066952265
nox,0.009700825282869472
puiss_admin_98,0.016259526190359756
cod_cbr,0.017678543640973234
conso_urb,0.02311942223991633
masse_ordma_max,0.030139046365647938
conso_mixte,0.27796038846732857
conso_exurb,1.300839261688606
