feature,shap_importance
cnit_m10mcdvpgw75712,0.0
cnit_m10mcdvpgw76616,0.0
cnit_m10mcdvpgw7b488,0.0
cnit_m10mcdvpgw7b524,0.0
cnit_m10mcdvpgw7c428,0.0
cnit_m10mcdvpgw72551,0.0
cnit_m10mcdvpgw72418,0.0
cnit_m10mcdvpgw71708,0.0
cnit_m10mcdvpgw71647,0.0
cnit_m10mcdvpgw71611,0.0
cnit_m10mcdvpgw71514,0.0
cnit_m10mcdvpgw70707,0.0
cnit_m10mcdvpgw70646,0.0
cnit_m10mcdvpgw70549,0.0
cnit_m10mcdvpgw70416,0.0
cnit_m10mcdvpgu4z323,0.0
cnit_m10mcdvp324e534,0.0
cnit_m10mcdvp3243293,0.0
cnit_m10lncvp000r207,0.0
cnit_m10fatvp026f862,0.0
cnit_m10fatvp007r335,0.0
cnit_m10dacvp0008731,0.0
cnit_m10mcdvpgw7c561,0.0
cnit_m10mcdvpgw7c622,0.0
cnit_m10pelvp253j535,0.0
cnit_m10mcdvpgw7h785,0.0
cnit_m10mcdvpgw7g662,0.0
cnit_m10mcdvpgw7g687,0.0
cnit_m10mcdvpgw7h494,0.0
cnit_m10mcdvpgw7h566,0.0
cnit_m10mcdvpgw7h663,0.0
cnit_m10mcdvpgw7h724,0.0
cnit_m10mcdvpgw7j434,0.0
cnit_m10mcdvpgw7c658,0.0
cnit_m10mcdvpgw7j495,0.0
cnit_m10mcdvpgw7j567,0.0
cnit_m10mcdvpgw7j568,0.0
cnit_m10mcdvpgw7j592,0.0
cnit_m10mcdvpgw7j629,0.0
cnit_m10mcdvpgw7j690,0.0
cnit_m10mcdvpgw7g626,0.0
cnit_m10mcdvpgw7g590,0.0
cnit_m10mcdvpgw7g493,0.0
cnit_m10mcdvpgw7f783,0.0
cnit_m10mcdvpgw7f722,0.0
cnit_m10mcdvpgw7f661,0.0
cnit_m10mcdvpgw7f625,0.0
cnit_m10mcdvpgw7f564,0.0
cnit_m10mcdvpgw7f492,0.0
cnit_m10mcdvpgw7e685,0.0
cnit_m10mcdvpgw7e563,0.0
cnit_m10mcdvpgw7e527,0.0
cnit_m10mcdvpgw7e430,0.0
cnit_m10mcdvpgw7d684,0.0
cnit_m10mcdvpgw7d587,0.0
cnit_m10mcdvpgw7c780,0.0
cnit_m10mcdvpgw7c719,0.0
tvv_zwe186,0.0
